id,project_id,ownername,reponame,merged_or_not,lifetime_minutes,mergetime_minutes,num_commits,src_churn,test_churn,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,num_commit_comments,num_issue_comments,num_comments,num_participants,sloc,team_size,perc_external_contribs,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,prev_pullreqs,requester_succ_rate,followers,churn_addition,churn_deletion,pr_comment_num,comment_num,perc_neg_emotion,perc_pos_emotion,perc_neu_emotion,part_num_issue,part_num_commit,part_num_pr,part_num_code,comment_conflict,hash_tag,at_tag,test_inclusion,description_length,bug_fix,ci_exists,ci_latency,ci_build_num,ci_test_passed,ci_failed_perc,ci_first_build_status,ci_last_build_status,language,fork_num,project_age,open_issue_num,pr_succ_rate,open_pr_num,first_response_time,pushed_delta,acc_commit_num,first_pr,account_creation_days,core_member,contrib_gender,contrib_country,contrib_affiliation,contrib_open,contrib_cons,contrib_extra,contrib_agree,contrib_neur,perc_contrib_neg_emo,perc_contrib_pos_emo,perc_contrib_neu_emo,contrib_first_emo,prior_review_num,inte_country,inte_affiliation,inte_open,inte_cons,inte_extra,inte_agree,inte_neur,perc_inte_neg_emo,perc_inte_pos_emo,perc_inte_neu_emo,inte_first_emo,contrib_follow_integrator,prior_interaction,social_strength,same_country,same_affiliation,open_diff,cons_diff,extra_diff,agree_diff,neur_diff,has_comments,has_participants,has_exchange,contrib_comment,inte_comment,reviewer_comment,other_comment,num_comments_con,num_code_comments,num_code_comments_con,integrator_availability,friday_effect,contrib_rate_author,reopen_or_not,first_close_minutes,reopen_num
862541,71363,internetarchive,openlibrary,1,77520,77520,28,165,0,5,0,8,13,5,0,4,0,8,22,3,43977,5,0.152466,8,100.344,5.64625,16.3455,377,54,1,4,154,11,14,22,0.136364,0.227273,0.636364,3,0,2,2,0,1,1,0,246,"",1,172,11,1,0,success,success,Python,151,115,320,0.980488,8,28605,84671,260,0,2546,1,male,new zealand,"",0.837203,0.626467,0.470206,0.64297,0.477919,0.1,0.3,0.6,neutral,312,united states,"",0.80913,0.664947,0.49168,0.700825,0.505029,0,1,0,positive,0,53,0.0909091,0,"",0.0280732,0.0384799,0.0214741,0.0578549,0.0271095,1,1,1,1,1,1,0,10,14,7,0,1,0.074392,0,77520,0
871432,152996,kmuto,review,1,2730,2730,8,780,6,0,0,9,9,8,0,1,0,8,8,4,11437,3,0.173554,2,453.298,45.4589,77.5813,682,183,1,62,604,182,0,8,0,0,1,4,0,0,0,0,1,0,1,35,"",1,151,8,0,0.125,success,success,Ruby,155,104,85,0.984917,19,1106,117436,975,0,3192,1,male,japan,"",0.721256,0.592209,0.53286,0.718538,0.753532,0,0,1,neutral,340,japan,"",0.720748,0.592211,0.532818,0.718524,0.742999,0,0,1,neutral,1,247,0.428571,1,"",0.000508351,0.00000227344,0.0000416325,0.0000138281,0.0105329,1,1,1,1,1,1,1,5,0,0,79,0,0.30074,0,2730,0
876004,15430259,chef,chef,1,337,337,1,28,0,0,0,1,1,1,0,0,0,1,1,1,65241,21,0.0446927,6,625.95,59.8562,101.452,2293,175,0.971429,92,15,13,0,1,0,0,1,1,0,0,0,0,0,0,0,24,"",1,"","","","","","",Ruby,1893,108,636,0.976116,110,300,20771,1100,0,3563,1,male,united kingdom,chef,0.801285,0.63808,0.487464,0.68501,0.510576,0,0,0,"",138,united states,chef,0.803507,0.650522,0.475055,0.646613,0.496699,0,0,1,neutral,0,180,0.112069,0,1,0.00222136,0.0124418,0.0124094,0.0383961,0.0138769,1,1,0,0,1,1,1,0,0,0,30,1,0.0721122,0,337,0
883419,17735,fatfreecrm,fat_free_crm,1,891,891,5,27,2,1,0,15,16,7,1,9,0,1,2,2,8702,4,0.0392157,14,579.776,51.526,125.942,3361,26,1,47,22,7,1,2,0.5,0,0.5,1,0,1,1,0,1,0,0,9,"",1,912,6,0,0.666667,failure,success,Ruby,1263,109,77,0.917981,19,585,76,49,0,3379,1,male,japan,"",0.817232,0.643511,0.471274,0.658153,0.544575,1,0,0,negative,104,australia,"",0.807365,0.584029,0.461305,0.6354,0.521493,0,0,1,neutral,0,123,0.0714286,0,"",0.00986662,0.0594825,0.00996841,0.0227532,0.0230823,1,1,1,1,1,1,0,1,1,0,11,0,0.00977264,1,54,2
883467,5854,mozilla,kitsune,1,19114,19114,2,90,0,0,0,1,1,1,0,0,0,5,5,4,19908,7,0.0275591,1,408.539,30.0068,16.1324,500,56,1,72,52,38,0,5,0,0.4,0.6,4,0,0,0,0,1,1,0,89,"",1,260,2,0,0.5,failure,success,Python,372,98,59,0.977288,40,4837,108789,175,0,1466,1,male,bangladesh,"",0.809455,0.64393,0.425245,0.634875,0.50115,0,0,1,neutral,160,greece,mozilla,0.795287,0.657313,0.496109,0.688042,0.478153,0,1,0,positive,0,10,0.0952381,0,"",0.0141682,0.0133829,0.0708635,0.0531671,0.0229978,1,1,1,1,1,1,0,1,0,0,17674,1,0.0205858,0,19114,0
884012,11511,stympy,faker,1,2672,2672,5,16,4,0,0,6,6,4,0,2,0,1,4,2,4290,5,0.490132,14,609.787,93.7784,191.65,6964,7,1,45,17,3,3,4,0.75,0,0.25,1,0,1,1,0,0,1,0,24,"",1,"","","","","","",Ruby,1836,113,70,0.953241,99,2671,59793,23,0,2187,0,male,nepal,"",0.783945,0.736131,0.536961,0.711418,0.568175,0,0,1,neutral,100,brazil,"",0.798304,0.699241,0.501103,0.706568,0.491167,1,0,0,negative,0,38,0.166667,0,"",0.0143584,0.03689,0.0358572,0.00484933,0.0770084,1,1,1,1,1,1,0,1,3,0,10,0,0.013173,0,2672,0
884651,614053,mysociety,alaveteli,1,49984,49984,4,0,0,0,0,1,1,16,0,1,0,8,8,3,30721,7,0.00201613,0,614.76,59.1009,90.0997,271,77,0.987013,11,0,0,0,8,0.25,0.125,0.625,3,0,0,0,0,1,1,0,46,"",1,2444,4,0,0.5,success,success,Ruby,144,96,1077,0.967573,69,1015,13375,1326,0,2281,1,male,united kingdom,"",0.813798,0.600147,0.479575,0.662221,0.562942,0.333333,0.333333,0.333333,negative,293,united kingdom,"",0.814564,0.590708,0.453608,0.641166,0.511374,0,0,1,neutral,0,12,0.0344828,1,"",0.000765888,0.00943892,0.0259677,0.0210549,0.0515689,1,1,1,1,1,1,0,3,0,0,5,0,0.0381616,1,41610,1
885132,15430259,chef,chef,1,8001,8001,4,308,51,0,0,64,64,64,0,0,0,8,8,3,66590,17,0.0344288,115,622.019,59.8389,100.083,2368,257,0.984436,137,181,178,0,8,0,0.125,0.875,3,0,0,0,0,0,1,1,58,"",1,"","","","","","",Ruby,1923,109,625,0.976892,99,65,2406,1011,0,2380,1,male,united states,chef,0.803507,0.650522,0.475055,0.646613,0.496699,0,0,1,neutral,622,united states,chef,0.821546,0.603892,0.469895,0.629628,0.478576,0,0,1,neutral,0,524,0.144068,1,1,0.0180395,0.0466306,0.00516011,0.0169854,0.0181234,1,1,1,1,1,1,0,3,0,0,10,0,0.063334,0,8001,0
886147,9793,sympy,sympy,1,16572,16572,23,717,65,0,0,12,12,11,0,0,0,9,19,4,152416,28,0.315673,101,368.187,24.6937,155.769,4585,5,0.8,7,485,297,10,19,0.0526316,0.105263,0.842105,3,0,4,4,0,1,1,1,68,"",1,3267,9,0,0.333333,failure,success,Python,2225,91,2008,0.918884,564,1554,27617,6,0,223,0,"",india,"",0.802886,0.669792,0.430678,0.687189,0.600247,0.111111,0.222222,0.666667,negative,34,south korea,"",0.827401,0.623934,0.470403,0.625242,0.472861,0,0,1,neutral,0,30,0.0215517,0,"",0.0245152,0.0458587,0.039725,0.0619465,0.127386,1,1,1,1,1,1,0,9,10,3,88,1,0.000187371,1,2436,1
887738,1142,saltstack,salt,1,3629,3629,4,18,0,0,0,1,1,1,0,0,0,6,8,3,334431,27,0.19596,5,308.201,16.6666,36.9656,10415,646,0.979876,126,11,7,2,8,0.125,0.125,0.75,2,0,2,2,0,0,1,0,52,"",1,"","","","","","",Python,4896,95,6176,0.974421,622,2152,4073,1607,0,2838,1,male,united states,saltstack,0.804962,0.661496,0.460097,0.65053,0.442535,0,0.166667,0.833333,positive,1251,portugal,saltstack,0.800378,0.630073,0.464523,0.640951,0.499407,0,0,1,neutral,0,141,0.116279,0,1,0.00458474,0.0314227,0.00442604,0.0095795,0.056872,1,1,1,1,1,1,0,6,2,1,147,0,0.0152572,0,3629,0
